colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,PARAISOS DEL COLLY GALEANA 1068 45069 zapopan,20.6508689,-103.4549679
REAL DE VALDEPE?S,RINCONADA DEL C,1327,45130,zapopan,REAL DE VALDEPE?S RINCONADA DEL C 1327 45130 zapopan,20.756436,-103.400611
VALENTIN GOMEZ FARIA,CANUTO ELIAS,3414,44977,Guadalajara,VALENTIN GOMEZ FARIA CANUTO ELIAS 3414 44977 Guadalajara,20.6191343,-103.3630249
INDEPENDENCIA,ROGELIO BACON,2280,44290,Guadalajara,INDEPENDENCIA ROGELIO BACON 2280 44290 Guadalajara,20.7113239,-103.3320885
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,SAN VICENTE PUERTO SOTO LA 2280 44330 Guadalajara,20.6751707,-103.3473385
TABACHINES,PASEO DE LOS CH,3040,45188,zapopan,TABACHINES PASEO DE LOS CH 3040 45188 zapopan,20.7408232,-103.3687889
FRACC REAL DEL BOSQUE,CALLE CAMPO REA,371,45130,zapopan,FRACC REAL DEL BOSQUE CALLE CAMPO REA 371 45130 zapopan,20.7521489,-103.3924863
TALPITA,SANTO TOMAS,1786,44719,Guadalajara,TALPITA SANTO TOMAS 1786 44719 Guadalajara,20.6835307,-103.3103183
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,VILLAS DE GADALUPE AV PATRIA 4177 44720 Guadalajara,20.6895609,-103.2851073
VALLE DE LOS MOLINOS,BERNA,75,45200,zapopan,VALLE DE LOS MOLINOS BERNA 75 45200 zapopan,20.8557347,-103.4231866
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,SANTA ELENA ASTURIAS 1581 44230 Guadalajara,20.714497,-103.3376018
MIRAMAR,BAHIA MAGDALENA,5,45060,zapopan,MIRAMAR BAHIA MAGDALENA 5 45060 zapopan,20.6407578,-103.4490409
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN FUJIYAMA 4413 44250 Guadalajara,20.7390409,-103.3189799
OBLATOS PONIENTE,HDA LAS CRUCES,2158,44700,Guadalajara,OBLATOS PONIENTE HDA LAS CRUCES 2158 44700 Guadalajara,20.693503,-103.2990589
LOMAS DE RIO VERDE,DEMOSTENES,3550,44720,Guadalajara,LOMAS DE RIO VERDE DEMOSTENES 3550 44720 Guadalajara,20.6993366,-103.2814995
