colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,HOGARES GUADALAJARA CIRCUNVALACION 258 44340 Guadalajara,20.689097,-103.3284089
HUENTITAN EL BAJO,VOLCAN FUJIYAMA,4413,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN FUJIYAMA 4413 44250 Guadalajara,20.7390409,-103.3189799
POLANQUITO,MIGUEL MACIAS,3653,44969,Guadalajara,POLANQUITO MIGUEL MACIAS 3653 44969 Guadalajara,20.6177446,-103.3724473
COPALITA,AV AMARANTO,175,45200,zapopan,COPALITA AV AMARANTO 175 45200 zapopan,20.8101768,-103.4544621
GUADALUPANA,CELEDONIO PADIL,2162,44220,Guadalajara,GUADALUPANA CELEDONIO PADIL 2162 44220 Guadalajara,20.7099659,-103.3553481
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,JARDINES DEL NILO MANUEL RIVERA C 2818 44860 Guadalajara,20.6492259,-103.287272
OBLATOS PONIENTE,HACIENDA LA GAV,3208,44700,Guadalajara,OBLATOS PONIENTE HACIENDA LA GAV 3208 44700 Guadalajara,20.7023208,-103.2829192
GENERAL REAL,PENSADOR MEXICA,1070,44400,Guadalajara,GENERAL REAL PENSADOR MEXICA 1070 44400 Guadalajara,20.665244,-103.3312763
LA PALMITA,MANUEL GONZALEZ,518,45180,zapopan,LA PALMITA MANUEL GONZALEZ 518 45180 zapopan,20.7299998,-103.3587965
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,BOSQUES D LA CANTERA PRIV OPALO 17 44306 Guadalajara,20.7157293,-103.3146951
SAN MARCOS,CANTERA,819,44330,Guadalajara,SAN MARCOS CANTERA 819 44330 Guadalajara,20.698316,-103.3132516
UNIDAD MEXICO,CDA QUERETARO,278,45120,zapopan,UNIDAD MEXICO CDA QUERETARO 278 45120 zapopan,20.6719563,-103.416501
VICTOR HUGO,PRIVADA COLON,150,45190,zapopan,VICTOR HUGO PRIVADA COLON 150 45190 zapopan,20.7212215,-103.3545682
EL BATAN,ALCALDE,288,45190,zapopan,EL BATAN ALCALDE 288 45190 zapopan,20.7221151,-103.3450117
RANCHO NUEVO,CELERINO NAVARR,4135,44240,zapopan,RANCHO NUEVO CELERINO NAVARR 4135 44240 zapopan,20.7173252,-103.3226322
EL CENTRO,JUAREZ,400,44100,Guadalajara,EL CENTRO JUAREZ 400 44100 Guadalajara,20.6753109,-103.348674
SAN ANDRES,GOMEZ FARIAS,2319,44810,Guadalajara,SAN ANDRES GOMEZ FARIAS 2319 44810 Guadalajara,20.6625598,-103.3068097
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,BALCONES DE OBLATOS HACIENDA DEL CA 2275 44720 Guadalajara,20.7051122,-103.2949895
PRADOS TEPEYAC,PRADO DE LAS RO,308,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS RO 308 45050 zapopan,20.6569105,-103.4128895
JARDINES DE STA ISAB,STA MARTHA,3165,44300,Guadalajara,JARDINES DE STA ISAB STA MARTHA 3165 44300 Guadalajara,20.7147766,-103.3136012
LA FLORIDA,FLORAL,15,45234,zapopan,LA FLORIDA FLORAL 15 45234 zapopan,20.597604,-103.4244467
SAN VICENTE,PUERTO SOTO LA,2280,44330,Guadalajara,SAN VICENTE PUERTO SOTO LA 2280 44330 Guadalajara,20.6751707,-103.3473385
MEZQUITAN COUNTRY,DIAGONAL NAJERA,1876,44260,Guadalajara,MEZQUITAN COUNTRY DIAGONAL NAJERA 1876 44260 Guadalajara,20.6923623,-103.3656108
OBLATOS PONIENTE,JUAN PABLO II,3165,44700,Guadalajara,OBLATOS PONIENTE JUAN PABLO II 3165 44700 Guadalajara,20.6958496,-103.2980962
LADRON DE GUEVARA,FRAY LUIS DE PA,443,44600,Guadalajara,LADRON DE GUEVARA FRAY LUIS DE PA 443 44600 Guadalajara,20.6769383,-103.3717253
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,SAN JUAN DE OCOTAN MIGUEL MIRAMON 13 45019 zapopan,20.7069491,-103.4540669
FRACC CUSPIDE,SAN MATEO 1155,27,45200,zapopan,FRACC CUSPIDE SAN MATEO 1155 27 45200 zapopan,20.7943709,-103.4676263
COUNTRY CLUB,AV JORGE ALVARE,1535,44610,Guadalajara,COUNTRY CLUB AV JORGE ALVARE 1535 44610 Guadalajara,20.7021029,-103.367393
