colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
2024-03-18 00:00:00,FAJA DE ORO,1783,44960,Guadalajara,45369 FAJA DE ORO 1783 44960 Guadalajara,20.6350171,-103.3781856
FRACC PALERMO,MARINA,204,45200,zapopan,FRACC PALERMO MARINA 204 45200 zapopan,20.8167636,-103.4619374
PANORAMICA HUENTITAN,CALZADA,4500,44259,Guadalajara,PANORAMICA HUENTITAN CALZADA 4500 44259 Guadalajara,20.7365162,-103.3103647
DIVISION DEL NORTE,SILVINA REMBOA,3050,44230,Guadalajara,DIVISION DEL NORTE SILVINA REMBOA 3050 44230 Guadalajara,20.7238915,-103.3364848
JARDINES DEL NILO,MANUEL RIVERA C,2818,44860,Guadalajara,JARDINES DEL NILO MANUEL RIVERA C 2818 44860 Guadalajara,20.6492259,-103.287272
U. H. BENITO JUAREZ II,CREDITO,4049,44770,Guadalajara,U. H. BENITO JUAREZ II CREDITO 4049 44770 Guadalajara,20.6727086,-103.2764487
JARDINES DE LA CRUZ,ISLA ASENCION,3108,44950,Guadalajara,JARDINES DE LA CRUZ ISLA ASENCION 3108 44950 Guadalajara,20.6375951,-103.3810856
ECHEVERRIA,JOSE ARTEAGA,2985,44970,Guadalajara,ECHEVERRIA JOSE ARTEAGA 2985 44970 Guadalajara,20.6256839,-103.3666996
LA FLORESTA DEL COLLI,BOULEVARD PUERT,5430,45116,zapopan,LA FLORESTA DEL COLLI BOULEVARD PUERT 5430 45116 zapopan,20.6467406,-103.4677957
SANTA ELENA,ASTURIAS,1581,44230,Guadalajara,SANTA ELENA ASTURIAS 1581 44230 Guadalajara,20.714497,-103.3376018
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,zapopan,VILLA DE GUADALUPE II PABLO HIPOLITO 45 45189 zapopan,20.7578506,-103.3409918
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,LADRON DE GUEVARA AVENIDA AMERICA 620 44600 Guadalajara,20.6823254,-103.3775019
FRACC CUSPIDE,SENDA DEL OCOTE,22,45200,zapopan,FRACC CUSPIDE SENDA DEL OCOTE 22 45200 zapopan,20.816668,-103.4838407
TETLAN,GIGANTES,108,44820,Guadalajara,TETLAN GIGANTES 108 44820 Guadalajara,20.6620349,-103.2728412
SAN ANDRES,AVELINO M PRESA,3335,44810,Guadalajara,SAN ANDRES AVELINO M PRESA 3335 44810 Guadalajara,20.6611419,-103.2904612
SAN JUAN BOSCO,FELIX BERNARDEL,428,44730,Guadalajara,SAN JUAN BOSCO FELIX BERNARDEL 428 44730 Guadalajara,20.6792166,-103.3146951
PRADOS GUADALUPE,G ROSSINI,428,45030,zapopan,PRADOS GUADALUPE G ROSSINI 428 45030 zapopan,20.6734682,-103.4204738
MIRAVALLE,JOSE JARAMILLO,526,44990,Guadalajara,MIRAVALLE JOSE JARAMILLO 526 44990 Guadalajara,20.6155611,-103.3527505
VILLAS DE GADALUPE,AV PATRIA,4177,44720,Guadalajara,VILLAS DE GADALUPE AV PATRIA 4177 44720 Guadalajara,20.6895609,-103.2851073
DEL FRESNO,CIPRES,1738,44900,Guadalajara,DEL FRESNO CIPRES 1738 44900 Guadalajara,20.6570961,-103.3668867
LA AURORA,JARDINES DE BAB,20,44790,Guadalajara,LA AURORA JARDINES DE BAB 20 44790 Guadalajara,20.6615108,-103.2837726
BEATRIZ HERNANDEZ,GAZA,1333,44760,Guadalajara,BEATRIZ HERNANDEZ GAZA 1333 44760 Guadalajara,20.6810198,-103.2866783
EL FORTIN,ALAMO,1359,45066,zapopan,EL FORTIN ALAMO 1359 45066 zapopan,20.6283228,-103.4699635
ARANDAS,HACIENDA DEL CO,3363,44720,Guadalajara,ARANDAS HACIENDA DEL CO 3363 44720 Guadalajara,20.6915829,-103.287272
JARDINES DE LOS POET,JOSE FERNANDEZ,3365,44820,Guadalajara,JARDINES DE LOS POET JOSE FERNANDEZ 3365 44820 Guadalajara,20.6488613,-103.2930375
"FRACC, LOS MOLINOS",CTO OBSIDIANA,39,45200,zapopan,"FRACC, LOS MOLINOS CTO OBSIDIANA 39 45200 zapopan",20.8476145,-103.4219418
HUENTITAN EL BAJO,VOLCAN MAIPO,340,44250,Guadalajara,HUENTITAN EL BAJO VOLCAN MAIPO 340 44250 Guadalajara,20.7418207,-103.3153473
VALLARTA SAN JORGE,EUCLIDES,3302,44690,Guadalajara,VALLARTA SAN JORGE EUCLIDES 3302 44690 Guadalajara,20.6755195,-103.3988528
CIUDAD GRANJA,CALZ DE LOS LA,164,45010,zapopan,CIUDAD GRANJA CALZ DE LOS LA 164 45010 zapopan,20.6782083,-103.4482868
BALCONES DE OBLATOS,HACIENDA DEL CA,2275,44720,Guadalajara,BALCONES DE OBLATOS HACIENDA DEL CA 2275 44720 Guadalajara,20.7051122,-103.2949895
INF LA TUZANIA,AND OYAMELES,1124,45138,zapopan,INF LA TUZANIA AND OYAMELES 1124 45138 zapopan,20.7373175,-103.4153366
TETLAN,JOSE RAMOS,4342,44820,Guadalajara,TETLAN JOSE RAMOS 4342 44820 Guadalajara,20.6607945,-103.2718488
SAN JUAN DE OCOTAN,MIGUEL MIRAMON,13,45019,zapopan,SAN JUAN DE OCOTAN MIGUEL MIRAMON 13 45019 zapopan,20.7069491,-103.4540669
PASEOS DEL BRISE#O,PASEOS DE LOS I,1,45236,zapopan,PASEOS DEL BRISE#O PASEOS DE LOS I 1 45236 zapopan,20.7408232,-103.3687889
UNIDAD JARDINES SEAT,JARDINES DE LOS,1233,45180,zapopan,UNIDAD JARDINES SEAT JARDINES DE LOS 1233 45180 zapopan,20.7361467,-103.3527111
JARDINES DE STA ISAB,COMBATE DE SACR,228,44300,Guadalajara,JARDINES DE STA ISAB COMBATE DE SACR 228 44300 Guadalajara,20.7146077,-103.3103647
VALLARTA SAN JORGE,TUCIDIDES,156,44690,Guadalajara,VALLARTA SAN JORGE TUCIDIDES 156 44690 Guadalajara,20.6755195,-103.3988528
SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,SANTA ROSA MELQUIADES CAMP 2289 44700 Guadalajara,20.6958496,-103.2980962
RANCHO NUEVO,CELERINO NAVARR,4135,44240,zapopan,RANCHO NUEVO CELERINO NAVARR 4135 44240 zapopan,20.7173252,-103.3226322
TABACHINES,PASEO DE LOS CH,3040,45188,zapopan,TABACHINES PASEO DE LOS CH 3040 45188 zapopan,20.7408232,-103.3687889
