,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,8.81,8.13,11.55,17.22,3.54,10.89,20.77,19.9,7.97,14.55,21.34,10.15,11.58,10.43,18.37,12.23,16.62,5.02,1.75,8.23,1.99,19.69,15.55,2.51,5.74,5.24,3.96,4.65,16.13,15.02,16.22,5.24,5.24,5.66,4.75,17.73,15.18,4.19,8.62
2,8.81,999.0,13.33,4.09,10.77,5.55,15.35,24.12,24.07,12.74,9.77,27.25,12.72,11.66,2.83,12.03,14.81,17.73,11.79,7.21,10.88,8.82,22.18,12.66,6.31,3.11,5.7,8.7,12.73,10.55,11.47,10.29,5.7,5.7,12.87,6.6,13.06,13.26,12.08,15.44
3,8.13,13.33,999.0,13.71,16.64,8.63,2.77,12.65,11.79,0.72,13.04,13.99,3.71,6.86,13.22,17.42,4.94,9.53,3.33,8.07,3.47,10.1,11.74,11.96,8.87,11.3,7.64,12.09,5.19,14.9,12.21,15.32,7.64,7.64,3.46,12.5,15.23,10.82,4.96,3.07
4,11.55,4.09,13.71,999.0,6.68,8.01,15.11,22.71,23.06,13.02,6.08,27.01,11.98,9.94,1.29,7.94,13.75,15.72,13.13,9.8,10.57,12.09,20.49,9.43,9.11,6.54,6.91,12.38,14.61,6.57,8.09,6.25,6.91,6.91,14.26,10.44,9.2,10.38,13.91,16.34
5,17.22,10.77,16.64,6.68,999.0,13.81,16.99,21.94,22.95,15.92,3.7,27.96,13.65,10.5,7.96,1.26,14.57,14.49,17.31,15.5,13.17,18.17,19.35,6.69,15.03,13.0,12.04,18.77,19.22,1.95,5.47,1.35,12.04,12.04,18.38,16.98,4.05,8.29,18.55,19.67
6,3.54,5.55,8.63,8.01,13.81,999.0,11.09,20.67,20.19,8.18,11.37,22.57,9.29,9.71,6.91,14.98,11.51,15.42,6.44,1.8,7.23,4.4,19.17,12.88,1.23,2.8,2.27,5.46,7.19,12.84,12.15,12.87,2.27,2.27,7.47,4.59,14.67,12.79,6.55,10.22
7,10.89,15.35,2.77,15.11,16.99,11.09,999.0,9.88,9.13,2.96,13.3,11.97,3.36,6.55,14.82,17.6,3.13,7.34,6.08,10.72,4.57,12.86,9.01,11.47,11.47,13.64,9.77,14.84,7.79,15.13,12.03,15.64,9.77,9.77,6.05,15.16,14.94,10.08,7.65,4.44
8,20.77,24.12,12.65,22.71,21.94,20.67,9.88,999.0,2.36,12.82,18.61,8.23,11.5,12.78,22.85,22.0,9.33,7.46,15.91,20.52,13.51,22.75,2.7,15.25,21.2,22.98,19.0,24.72,17.39,20.02,16.5,20.69,19.0,19.0,15.71,24.95,18.46,13.65,17.37,13.28
9,19.9,24.07,11.79,23.06,22.95,20.19,9.13,2.36,999.0,12.09,19.47,6.03,11.35,13.2,23.07,23.13,9.35,8.63,14.92,19.84,13.24,21.84,4.55,16.33,20.6,22.66,18.71,23.85,16.17,21.01,17.49,21.66,18.71,18.71,14.57,24.28,19.69,14.7,16.24,11.92
10,7.97,12.74,0.72,13.02,15.92,8.18,2.96,12.82,12.09,999.0,12.33,14.53,3.18,6.23,12.55,16.7,4.66,9.26,3.4,7.76,2.75,9.95,11.76,11.32,8.51,10.81,7.07,11.91,5.44,14.19,11.53,14.61,7.07,7.07,3.76,12.2,14.55,10.21,5.12,3.77
11,14.55,9.77,13.04,6.08,3.7,11.37,13.3,18.61,19.47,12.33,999.0,24.34,9.96,6.81,7.07,4.38,10.89,11.19,13.96,12.9,9.58,15.77,16.1,3.7,12.6,11.24,9.32,16.68,15.98,1.86,2.28,2.34,9.32,9.32,14.99,15.17,3.38,5.08,15.33,16.09
12,21.34,27.25,13.99,27.01,27.96,22.57,11.97,8.23,6.03,14.53,24.34,999.0,15.05,17.65,26.78,28.3,13.53,14.21,16.42,21.77,16.53,23.11,10.57,21.56,22.66,25.28,21.6,25.11,16.92,26.02,22.56,26.63,21.6,21.6,15.68,26.04,25.04,19.93,17.22,12.72
13,10.15,12.72,3.71,11.98,13.65,9.29,3.36,11.5,11.35,3.18,9.96,15.05,999.0,3.31,11.83,14.28,2.22,6.48,6.34,9.45,2.06,12.1,9.88,8.38,9.98,11.49,7.51,13.92,8.49,11.79,8.79,12.3,7.51,7.51,6.88,13.76,11.76,7.15,8.09,6.68
14,11.58,11.66,6.86,9.94,10.5,9.71,6.55,12.78,13.2,6.23,6.81,17.65,3.31,999.0,10.1,11.06,4.12,6.08,8.87,10.45,3.85,13.37,10.62,5.1,10.69,11.25,7.52,14.96,11.07,8.61,5.49,9.15,7.52,7.52,9.65,14.29,8.46,4.02,10.55,9.91
15,10.43,2.83,13.22,1.29,7.96,6.91,14.82,22.85,23.07,12.55,7.07,26.78,11.83,10.1,999.0,9.22,13.72,16.05,12.36,8.7,10.25,10.89,20.72,10.22,7.96,5.27,6.06,11.11,13.71,7.74,8.94,7.46,6.06,6.06,13.49,9.15,10.3,11.02,13.03,15.72
16,18.37,12.03,17.42,7.94,1.26,14.98,17.6,22.0,23.13,16.7,4.38,28.3,14.28,11.06,9.22,999.0,15.04,14.57,18.25,16.65,13.95,19.36,19.37,6.8,16.21,14.24,13.15,20.0,20.21,2.52,5.74,2.19,13.15,13.15,19.3,18.22,3.66,8.43,19.55,20.47
17,12.23,14.81,4.94,13.75,14.57,11.51,3.13,9.33,9.35,4.66,10.89,13.53,2.22,4.12,13.72,15.04,999.0,4.6,8.05,11.63,4.28,14.2,7.67,8.6,12.18,13.69,9.71,16.06,10.09,12.64,9.33,13.22,9.71,9.71,8.38,15.96,12.13,7.11,9.78,7.42
18,16.62,17.73,9.53,15.72,14.49,15.42,7.34,7.46,8.63,9.26,11.19,14.21,6.48,6.08,16.05,14.57,4.6,999.0,12.64,15.82,8.41,18.56,4.91,7.8,16.26,17.23,13.37,20.34,14.69,12.57,9.05,13.24,13.37,13.37,12.98,19.99,11.08,6.2,14.38,11.78
19,5.02,11.79,3.33,13.13,17.31,6.44,6.08,15.91,14.92,3.4,13.96,16.42,6.34,8.87,12.36,18.25,8.05,12.64,999.0,5.37,5.02,6.93,15.07,13.73,6.31,9.24,6.32,8.94,2.21,15.78,13.65,16.08,6.32,6.32,1.13,9.64,16.64,12.87,1.75,3.8
