,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,22.03,13.32,10.8,9.6,11.4,0.42,1.58,9.43,9.81,14.21,5.27,23.02,11.38,9.59,8.24,6.14,3.42,11.44,2.73,10.27,10.82,9.59,11.37,9.0,24.1,13.57,5.0,8.74,11.66,12.03,11.44,11.25,11.82,11.57,11.33,5.0,10.74,10.84,11.82
2,22.03,999.0,18.13,16.65,26.05,25.1,21.65,23.47,18.94,17.24,14.19,17.36,2.28,26.16,24.88,21.67,16.53,25.12,23.22,20.34,25.35,23.69,20.99,22.91,25.66,5.4,17.39,17.04,15.49,21.37,10.09,26.33,12.25,12.86,14.48,19.45,17.04,21.73,18.24,12.86
3,13.32,18.13,999.0,3.06,10.01,7.93,13.25,13.66,19.2,3.75,3.98,9.23,20.14,9.17,8.64,6.39,13.44,14.17,5.85,10.62,8.8,6.65,20.53,5.55,9.92,16.96,0.79,11.45,15.76,3.84,10.93,9.33,15.32,6.1,4.41,2.44,11.45,4.7,2.49,6.1
4,10.8,16.65,3.06,999.0,9.76,8.46,10.67,11.38,16.15,1.05,3.81,6.3,18.49,9.56,8.47,5.47,10.39,12.18,6.57,8.08,8.85,7.05,17.51,6.26,9.5,16.39,2.97,8.44,12.7,4.8,8.34,9.73,12.39,3.86,2.17,2.91,8.44,5.07,1.62,3.86
5,9.6,26.05,10.01,9.76,999.0,2.85,9.86,8.68,18.81,8.96,13.32,10.09,27.68,2.07,1.37,4.39,14.13,7.78,4.5,8.34,1.42,3.54,19.17,4.72,0.6,26.16,10.71,11.99,17.08,6.27,16.55,2.06,18.52,13.27,11.83,7.67,11.99,5.31,8.43,13.27
6,11.4,25.1,7.93,8.46,2.85,999.0,11.58,10.76,20.14,7.89,11.62,10.58,26.89,1.25,1.95,4.05,15.0,10.18,2.08,9.58,1.46,1.41,20.75,2.38,3.17,24.67,8.69,12.75,17.91,4.09,16.15,1.41,18.89,12.25,10.63,5.85,12.75,3.42,6.91,12.25
7,0.42,21.65,13.25,10.67,9.86,11.58,999.0,2.0,9.09,9.68,14.02,4.99,22.62,11.6,9.8,8.32,5.73,3.84,11.55,2.63,10.48,10.96,9.32,11.47,9.26,23.76,13.47,4.61,8.33,11.7,11.66,11.67,10.83,11.56,11.36,11.3,4.61,10.81,10.76,11.56
8,1.58,23.47,13.66,11.38,8.68,10.76,2.0,999.0,10.79,10.34,14.95,6.4,24.51,10.58,8.87,8.05,7.72,1.84,11.08,3.5,9.51,10.36,10.76,11.06,8.1,25.37,13.99,6.48,10.32,11.57,13.42,10.63,12.83,12.82,12.38,11.51,6.48,10.59,11.19,12.82
9,9.43,18.94,19.2,16.15,18.81,20.14,9.09,10.79,999.0,15.52,18.09,10.2,18.99,20.38,18.54,16.35,5.76,12.48,19.62,10.57,19.24,19.25,2.06,19.45,18.21,22.86,19.08,7.86,4.05,19.13,11.47,20.47,6.85,14.7,15.58,18.05,7.86,18.5,17.04,14.7
10,9.81,17.24,3.75,1.05,8.96,7.89,9.68,10.34,15.52,999.0,4.84,5.49,19.0,8.92,7.71,4.6,9.76,11.13,6.13,7.08,8.14,6.48,16.8,5.83,8.66,17.22,3.82,7.71,12.21,4.56,8.48,9.09,12.16,4.37,2.88,2.84,7.71,4.61,1.59,4.37
11,14.21,14.19,3.98,3.81,13.32,11.62,14.02,14.95,18.09,4.84,999.0,9.23,16.24,12.81,11.98,9.17,12.52,15.89,9.57,11.54,12.27,10.25,19.71,9.26,13.12,13.07,3.21,10.97,14.26,7.58,8.07,12.98,13.07,3.46,2.71,5.77,10.97,8.22,4.9,3.46
12,5.27,17.36,9.23,6.3,10.09,10.58,4.99,6.4,10.2,5.49,9.23,999.0,18.61,11.13,9.37,6.55,4.58,7.87,9.66,3.02,10.03,9.46,11.35,9.45,9.55,18.97,9.26,2.35,7.39,8.96,7.28,11.26,8.43,6.57,6.52,7.86,2.35,8.41,6.92,6.57
13,23.02,2.28,20.14,18.49,27.68,26.89,22.62,24.51,18.99,19.0,16.24,18.61,999.0,27.91,26.55,23.33,17.25,26.22,25.06,21.54,27.06,25.48,21.02,24.75,27.27,7.3,19.42,18.03,15.85,23.25,11.35,28.07,12.6,14.65,16.33,21.33,18.03,23.55,20.1,14.65
14,11.38,26.16,9.17,9.56,2.07,1.25,11.6,10.58,20.38,8.92,12.81,11.13,27.91,999.0,1.84,4.76,15.43,9.8,3.32,9.81,1.14,2.56,20.87,3.62,2.56,25.84,9.92,13.21,18.36,5.32,17.04,0.17,19.52,13.29,11.71,7.04,13.21,4.59,8.05,13.29
15,9.59,24.88,8.64,8.47,1.37,1.95,9.8,8.87,18.54,7.71,11.98,9.37,26.55,1.84,999.0,3.23,13.61,8.24,3.21,7.97,0.7,2.25,19.05,3.4,1.39,24.86,9.35,11.4,16.55,4.92,15.52,1.94,17.79,12.05,10.57,6.3,11.4,3.94,7.1,12.05
16,8.24,21.67,6.39,5.47,4.39,4.05,8.32,8.05,16.35,4.6,9.17,6.55,23.33,4.76,3.23,999.0,11.04,8.12,3.29,5.97,3.78,2.92,17.14,3.17,4.06,21.82,6.97,8.77,13.91,3.54,12.31,4.91,14.84,8.87,7.47,3.97,8.77,2.53,4.32,8.87
17,6.14,16.53,13.44,10.39,14.13,15.0,5.73,7.72,5.76,9.76,12.52,4.58,17.25,15.43,13.61,11.04,999.0,9.56,14.21,5.87,14.3,13.96,7.2,14.02,13.55,19.39,13.33,2.26,2.94,13.53,7.13,15.54,5.11,9.23,9.92,12.35,2.26,12.99,11.3,9.23
18,3.42,25.12,14.17,12.18,7.78,10.18,3.84,1.84,12.48,11.13,15.89,7.87,26.22,9.8,8.24,8.12,9.56,999.0,10.84,4.85,8.82,10.02,12.29,10.87,7.24,26.82,14.58,8.22,12.15,11.64,15.04,9.82,14.66,14.04,13.42,11.88,8.22,10.6,11.75,14.04
19,11.44,23.22,5.85,6.57,4.5,2.08,11.55,11.08,19.62,6.13,9.57,9.66,25.06,3.32,3.21,3.29,14.21,10.84,999.0,9.25,3.13,0.96,20.43,0.32,4.61,22.64,6.61,11.95,17.04,2.01,14.56,3.49,17.7,10.42,8.74,3.83,11.95,1.52,4.98,10.42
