,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,10.42,0.32,14.14,15.36,18.25,4.61,0.9,13.97,12.45,12.3,17.76,13.8,2.03,19.38,11.08,21.87,10.73,3.29,19.22,4.5,2.01,8.05,11.32,10.74,6.81,9.25,4.99,16.45,3.09,19.64,21.69,13.82,12.39,7.62,6.68,12.11,1.91,5.38,5.37
2,10.42,999.0,10.15,3.89,5.48,13.17,11.66,10.71,9.35,9.78,2.58,13.5,6.94,11.16,12.75,9.77,13.49,6.51,7.93,11.66,12.12,9.12,3.04,8.35,7.09,5.39,1.82,6.12,6.89,7.33,10.42,11.74,5.73,2.55,5.07,5.5,10.57,12.2,5.53,5.61
3,0.32,10.15,999.0,13.86,15.06,18.17,4.79,1.16,13.88,12.41,12.0,17.71,13.64,2.27,19.26,11.06,21.56,10.41,3.17,19.07,4.72,1.71,7.75,11.24,10.64,6.65,8.96,4.81,16.14,2.83,19.33,21.38,13.63,12.1,7.31,6.52,12.09,2.23,5.07,5.17
4,14.14,3.89,13.86,999.0,1.84,14.33,15.55,14.5,11.31,12.39,2.02,14.99,8.34,15.01,13.14,12.77,10.22,7.31,11.81,11.58,16.02,12.66,6.22,11.14,9.94,9.21,4.92,10.02,3.37,11.07,6.85,7.86,6.68,1.87,7.63,9.32,13.39,15.97,8.95,9.5
5,15.36,5.48,15.06,1.84,999.0,15.98,17.11,15.79,13.11,14.23,3.1,16.7,10.1,16.38,14.61,14.61,8.37,7.24,13.26,12.96,17.55,13.75,7.32,12.98,11.79,10.87,6.13,11.53,1.52,12.34,5.03,6.35,8.41,3.04,8.35,10.98,15.24,17.23,10.04,11.01
6,18.25,13.17,18.17,14.33,15.98,999.0,15.59,17.83,4.37,5.91,14.88,1.36,6.24,17.36,2.83,7.49,23.9,19.67,15.03,4.59,16.17,18.37,15.44,6.93,7.65,11.94,14.72,13.77,17.37,16.2,20.3,19.53,7.72,14.72,17.55,12.04,6.68,19.03,16.47,13.65
7,4.61,11.66,4.79,15.55,17.11,15.59,999.0,3.73,11.68,9.69,14.05,14.83,12.52,2.66,17.26,8.1,24.57,14.11,4.06,17.56,0.6,6.27,10.29,8.98,8.91,6.5,11.15,5.59,18.43,5.69,21.87,23.4,13.11,14.08,10.75,6.37,8.97,4.1,8.24,6.1
8,0.9,10.71,1.16,14.5,15.79,17.83,3.73,999.0,13.6,11.98,12.7,17.28,13.62,1.13,19.07,10.55,22.5,11.45,3.12,19.0,3.6,2.84,8.51,10.91,10.42,6.69,9.66,4.97,16.93,3.45,20.18,22.13,13.76,12.79,8.27,6.55,11.56,1.51,5.92,5.4
9,13.97,9.35,13.88,11.31,13.11,4.37,11.68,13.6,999.0,2.32,11.41,4.28,3.08,13.21,5.58,3.87,21.4,15.72,10.71,6.07,12.28,14.02,11.3,2.73,3.28,7.57,10.73,9.41,14.6,11.83,17.87,17.75,4.79,11.28,13.36,7.67,3.54,14.86,12.14,9.29
10,12.45,9.78,12.41,12.39,14.23,5.91,9.69,11.98,2.32,999.0,12.12,5.31,4.82,11.46,7.69,1.63,22.6,15.78,9.32,8.36,10.28,12.78,11.16,1.5,2.73,6.66,10.85,8.32,15.75,10.69,19.16,19.35,6.38,12.02,13.07,6.72,1.26,13.14,11.48,8.32
