colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
"FRACC, LOS MOLINOS",PLATA,70,45200,zapopan,"FRACC, LOS MOLINOS PLATA 70 45200 zapopan",20.8193378,-103.4428879
UNIDAD BELISARIO DOM,JOSE LUIS MORA,1212,44329,Guadalajara,UNIDAD BELISARIO DOM JOSE LUIS MORA 1212 44329 Guadalajara,20.6848023,-103.3217926
AGRICOLA,OBELISCO,138,45236,zapopan,AGRICOLA OBELISCO 138 45236 zapopan,20.6193793,-103.4352826
MORELOS,CISNE,1332,44910,Guadalajara,MORELOS CISNE 1332 44910 Guadalajara,20.6517869,-103.3572848
VILLA DE GUADALUPE II,PABLO HIPOLITO,45,45189,zapopan,VILLA DE GUADALUPE II PABLO HIPOLITO 45 45189 zapopan,20.7578506,-103.3409918
PARAISOS DEL COLLY,GALEANA,1068,45069,zapopan,PARAISOS DEL COLLY GALEANA 1068 45069 zapopan,20.6508689,-103.4549679
EL CENTINELA 2,HIDALGO,310,45187,zapopan,EL CENTINELA 2 HIDALGO 310 45187 zapopan,20.7588184,-103.3796682
LOMAS DEL GALLO,FERNANDO SOLIS,1338,44760,Guadalajara,LOMAS DEL GALLO FERNANDO SOLIS 1338 44760 Guadalajara,20.6791063,-103.2705275
HOGARES GUADALAJARA,CIRCUNVALACION,258,44340,Guadalajara,HOGARES GUADALAJARA CIRCUNVALACION 258 44340 Guadalajara,20.689097,-103.3284089
JARDINES DE STA ISAB,STA MARTHA,3165,44300,Guadalajara,JARDINES DE STA ISAB STA MARTHA 3165 44300 Guadalajara,20.7147766,-103.3136012
2024-03-18 00:00:00,NATIVIDAD MACIA,1326,44960,Guadalajara,45369 NATIVIDAD MACIA 1326 44960 Guadalajara,20.6333595,-103.369541
LOS ROBLES,CALLE LOS ROBLE,395,45134,zapopan,LOS ROBLES CALLE LOS ROBLE 395 45134 zapopan,20.76045,-103.4237244
REAL DE TESISTAN,PASEO DE LA ARB,176,45200,zapopan,REAL DE TESISTAN PASEO DE LA ARB 176 45200 zapopan,20.7826297,-103.4722075
LA FLORIDA,FLORAL,15,45234,zapopan,LA FLORIDA FLORAL 15 45234 zapopan,20.597604,-103.4244467
U H EL SAUZ INF,JAIME TORRES B,3090,44987,Guadalajara,U H EL SAUZ INF JAIME TORRES B 3090 44987 Guadalajara,20.6286263,-103.3919446
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS GA 4468 45050 zapopan,20.6569105,-103.4128895
EL CARMEN,FRANCISCO MARCO,2616,44980,Guadalajara,EL CARMEN FRANCISCO MARCO 2616 44980 Guadalajara,20.6178521,-103.3803903
AMERICANA,MEXICALLTZINGO,1944,44160,Guadalajara,AMERICANA MEXICALLTZINGO 1944 44160 Guadalajara,20.6685168,-103.3674029
LOMAS DE MIRAMAR,URANIO,31,45060,zapopan,LOMAS DE MIRAMAR URANIO 31 45060 zapopan,20.6391341,-103.4439519
SANTA ROSA,MELQUIADES CAMP,2289,44700,Guadalajara,SANTA ROSA MELQUIADES CAMP 2289 44700 Guadalajara,20.6958496,-103.2980962
VISTA HERMOSA,VISTA BONITA,739,45189,zapopan,VISTA HERMOSA VISTA BONITA 739 45189 zapopan,20.7619353,-103.3337076
CIRCUNVAL VALLARTA,REFORMA,2749,44680,Guadalajara,CIRCUNVAL VALLARTA REFORMA 2749 44680 Guadalajara,20.6809709,-103.3854452
ZONA INDUSTRIAL SUR,CALLE 16,2526,44940,Guadalajara,ZONA INDUSTRIAL SUR CALLE 16 2526 44940 Guadalajara,20.6293229,-103.3551189
AGRICOLA,DALIA,138,45236,zapopan,AGRICOLA DALIA 138 45236 zapopan,20.6166871,-103.4323929
LADRON DE GUEVARA,AVENIDA AMERICA,620,44600,Guadalajara,LADRON DE GUEVARA AVENIDA AMERICA 620 44600 Guadalajara,20.6823254,-103.3775019
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,BENITO JUAREZ JUAN MANUEL RUV 1992 45199 Guadalajara,20.7349255,-103.3399585
EJIDAL LOMA BONITA,PEDRO MORENO,3308,45085,zapopan,EJIDAL LOMA BONITA PEDRO MORENO 3308 45085 zapopan,20.6306388,-103.4035
COLINAS DEL REY,AV TORREMOLINOS,3500,45130,zapopan,COLINAS DEL REY AV TORREMOLINOS 3500 45130 zapopan,20.7529511,-103.4073257
MESA COLORADA PTE,NABO,543,45189,zapopan,MESA COLORADA PTE NABO 543 45189 zapopan,20.7630106,-103.346334
U H FOVISSSTE ESTADI,LISBOA,28,44307,Guadalajara,U H FOVISSSTE ESTADI LISBOA 28 44307 Guadalajara,20.7105563,-103.3247998
ELECTRICISTAS,RAMOS ARIZPE,451,44810,Guadalajara,ELECTRICISTAS RAMOS ARIZPE 451 44810 Guadalajara,20.6549543,-103.2980962
DEL FRESNO,CIPRES,1738,44900,Guadalajara,DEL FRESNO CIPRES 1738 44900 Guadalajara,20.6570961,-103.3668867
CONDOMINIO MALAGA,AV CENTRAL,1351,45117,zapopan,CONDOMINIO MALAGA AV CENTRAL 1351 45117 zapopan,20.6927846,-103.432489
MIRAVALLE,MAURICIO CAMPOS,512,44990,Guadalajara,MIRAVALLE MAURICIO CAMPOS 512 44990 Guadalajara,20.6095034,-103.3469693
TABACHINES,PASEO DE LOS AV,3101,45188,zapopan,TABACHINES PASEO DE LOS AV 3101 45188 zapopan,20.7408232,-103.3687889
BUGAMBILIAS,PASEO DE LA VIC,4952,45238,zapopan,BUGAMBILIAS PASEO DE LA VIC 4952 45238 zapopan,20.6024902,-103.4469054
OBLATOS PONIENTE,HACIENDA DE TAL,2191,44700,Guadalajara,OBLATOS PONIENTE HACIENDA DE TAL 2191 44700 Guadalajara,20.6958496,-103.2980962
EL ARENAL,PROLONGACION SA,43,45350,zapopan,EL ARENAL PROLONGACION SA 43 45350 zapopan,20.775698,-103.6951543
BOSQUES D LA CANTERA,PRIV OPALO,17,44306,Guadalajara,BOSQUES D LA CANTERA PRIV OPALO 17 44306 Guadalajara,20.7157293,-103.3146951
GENERAL REAL,MARCONI,17,44400,Guadalajara,GENERAL REAL MARCONI 17 44400 Guadalajara,20.6682224,-103.3241833
