colonia,Calle,# de casa,Código postal,Unnamed: 4,Ubicacion,Latitude,Longitude
RESID LAS ARBOLEDAS,AURORA BOREAL N,4170,45070,zapopan,RESID LAS ARBOLEDAS AURORA BOREAL N 4170 45070 zapopan,20.6282613,-103.4283633
LOS ROBLES,CALLE LOS ROBLE,395,45134,zapopan,LOS ROBLES CALLE LOS ROBLE 395 45134 zapopan,20.76045,-103.4237244
LINDAVISTA,ALLENDE,216,45169,zapopan,LINDAVISTA ALLENDE 216 45169 zapopan,20.7225403,-103.3986393
ARANDAS,HACIENDA DEL CO,3363,44720,Guadalajara,ARANDAS HACIENDA DEL CO 3363 44720 Guadalajara,20.6915829,-103.287272
MARAVILLA,MESA DEL NORTE,1272,44700,Guadalajara,MARAVILLA MESA DEL NORTE 1272 44700 Guadalajara,20.6995569,-103.304327
VILLA FONTANA DIAMANTE,FUENTE GRAFITO,8884,45200,zapopan,VILLA FONTANA DIAMANTE FUENTE GRAFITO 8884 45200 zapopan,20.7797176,-103.4751321
PRADOS TEPEYAC,PRADO DE LAS GA,4468,45050,zapopan,PRADOS TEPEYAC PRADO DE LAS GA 4468 45050 zapopan,20.6569105,-103.4128895
SAN VICENTE,MONTES MARCIANO,2173,44330,Guadalajara,SAN VICENTE MONTES MARCIANO 2173 44330 Guadalajara,20.6960687,-103.3139733
EL FORTIN,ALAMO,1359,45066,zapopan,EL FORTIN ALAMO 1359 45066 zapopan,20.6283228,-103.4699635
EJIDAL LOMA BONITA,PEDRO MORENO,3205,45085,zapopan,EJIDAL LOMA BONITA PEDRO MORENO 3205 45085 zapopan,20.6306388,-103.4035
OBLATOS PONIENTE,HACIENDA LA PUR,2415,44700,Guadalajara,OBLATOS PONIENTE HACIENDA LA PUR 2415 44700 Guadalajara,20.6958496,-103.2980962
LA FLORIDA,FLORAL,15,45234,zapopan,LA FLORIDA FLORAL 15 45234 zapopan,20.597604,-103.4244467
RINCONADA DE HUENTITAN,JOSE MARIA CANA,5128,44250,Guadalajara,RINCONADA DE HUENTITAN JOSE MARIA CANA 5128 44250 Guadalajara,20.7290954,-103.3211909
VILLAS SAN IGNACIO,PRIV LUIS G MON,337,45180,zapopan,VILLAS SAN IGNACIO PRIV LUIS G MON 337 45180 zapopan,20.7346756,-103.3710032
BOSQUES D L VICTORIA,PENINSULA,2713,44540,Guadalajara,BOSQUES D L VICTORIA PENINSULA 2713 44540 Guadalajara,20.6463741,-103.3890559
EL BRISE#O,CONSTELACION,7,45236,zapopan,EL BRISE#O CONSTELACION 7 45236 zapopan,20.622299,-103.4352826
HDA SAN ISIDRO,LA VILLA,455,45147,zapopan,HDA SAN ISIDRO LA VILLA 455 45147 zapopan,20.6719563,-103.416501
RANCHO NUEVO,DOMINGO RAMIRE,1150,44240,Guadalajara,RANCHO NUEVO DOMINGO RAMIRE 1150 44240 Guadalajara,20.7209179,-103.331296
TETLAN,GIGANTES,108,44820,Guadalajara,TETLAN GIGANTES 108 44820 Guadalajara,20.6620349,-103.2728412
BENITO JUAREZ,JUAN MANUEL RUV,1992,45199,Guadalajara,BENITO JUAREZ JUAN MANUEL RUV 1992 45199 Guadalajara,20.7349255,-103.3399585
MIRAVALLE,MAURICIO CAMPOS,512,44990,Guadalajara,MIRAVALLE MAURICIO CAMPOS 512 44990 Guadalajara,20.6095034,-103.3469693
SAN ISIDRO EJIDAL,NUEVO MEXICO,250,45147,zapopan,SAN ISIDRO EJIDAL NUEVO MEXICO 250 45147 zapopan,20.7266188,-103.3981284
TABACHINES,PASEO DE LOS AV,3101,45188,zapopan,TABACHINES PASEO DE LOS AV 3101 45188 zapopan,20.7408232,-103.3687889
RNDA DE PAZ,ALBANILES,543,44860,Guadalajara,RNDA DE PAZ ALBANILES 543 44860 Guadalajara,20.6480574,-103.3077865
MIRAMAR,BAHIA MAGDALENA,5,45060,zapopan,MIRAMAR BAHIA MAGDALENA 5 45060 zapopan,20.6407578,-103.4490409
PRADOS GUADALUPE,G ROSSINI,428,45030,zapopan,PRADOS GUADALUPE G ROSSINI 428 45030 zapopan,20.6734682,-103.4204738
U H EL ZALATE,JOSE FERNANDEZ,1123,44760,Guadalajara,U H EL ZALATE JOSE FERNANDEZ 1123 44760 Guadalajara,20.6790639,-103.2732636
FRACC REAL DEL BOSQUE,BERROCAL,449,45130,zapopan,FRACC REAL DEL BOSQUE BERROCAL 449 45130 zapopan,20.7521489,-103.3924863
AMERICANA,COLONIAS,221,44160,Guadalajara,AMERICANA COLONIAS 221 44160 Guadalajara,20.6717775,-103.3630608
COLLY SITIO,ROMANA,6570,45036,zapopan,COLLY SITIO ROMANA 6570 45036 zapopan,20.6536811,-103.4399784
SAN MARCOS,CANTERA,819,44330,Guadalajara,SAN MARCOS CANTERA 819 44330 Guadalajara,20.698316,-103.3132516
