,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,19.58,22.27,20.67,12.62,18.8,9.42,23.78,18.77,17.79,22.07,6.85,5.1,24.76,21.88,18.35,23.35,18.54,20.06,20.4,13.04,16.52,23.04,22.59,16.7,14.25,21.4,8.27,11.84,17.25,23.71,19.72,14.13,25.4,11.66,24.14,20.4,26.7,17.64,20.87
2,19.58,999.0,13.89,5.21,8.37,14.38,10.21,5.38,0.84,3.44,7.58,13.55,19.07,14.44,9.62,9.98,9.63,5.08,13.7,2.76,8.68,6.64,7.08,13.79,5.81,5.89,10.43,11.7,9.07,2.88,4.14,5.62,11.56,8.78,7.93,15.93,2.76,40.17,3.52,1.86
3,22.27,13.89,999.0,8.89,18.28,4.06,16.57,18.41,13.57,16.53,7.02,15.75,18.58,2.67,4.63,4.79,5.72,8.94,2.38,16.63,19.07,8.6,8.42,0.42,9.24,16.25,3.54,15.15,18.48,15.34,14.83,8.27,8.18,9.27,15.19,2.24,16.63,32.17,16.52,12.79
4,20.67,5.21,8.89,999.0,11.93,10.18,12.14,9.53,5.13,8.36,2.42,13.93,18.85,9.24,4.44,5.82,4.48,2.14,9.14,7.88,12.51,4.38,2.51,8.75,4.0,9.43,5.36,12.41,12.43,7.37,6.18,1.16,9.07,4.83,9.98,10.83,7.88,37.79,8.39,3.9
5,12.62,8.37,18.28,11.93,999.0,16.81,4.03,11.43,7.76,5.58,14.17,8.62,13.93,19.84,15.33,13.5,16.12,10.32,17.02,8.22,0.88,9.73,14.38,18.37,9.23,2.55,15.59,6.93,0.8,5.53,12.29,11.54,11.97,16.53,3.46,20.51,8.22,36.92,5.43,10.13
6,18.8,14.38,4.06,10.18,16.81,999.0,14.35,19.47,13.85,16.35,9.11,12.62,14.78,6.73,7.02,4.43,8.59,9.33,1.74,17.09,17.67,7.98,10.67,4.47,8.8,15.2,5.82,12.4,16.85,15.1,16.35,9.2,5.22,12.16,13.45,5.45,17.09,28.61,16.3,13.76
7,9.42,10.21,16.57,12.14,4.03,14.35,999.0,14.42,9.42,8.45,14.01,4.59,9.99,18.54,14.55,11.86,15.69,10.13,14.91,11.01,4.8,8.69,14.64,16.75,8.52,4.92,14.48,2.95,3.5,7.84,14.35,11.4,9.18,16.97,2.3,18.76,11.01,32.89,8.29,11.62
8,23.78,5.38,18.41,9.53,11.43,19.47,14.42,999.0,6.13,5.99,11.5,18.34,23.95,18.42,13.84,15.03,13.32,10.16,18.6,3.42,11.33,11.97,10.41,18.24,11.15,9.53,14.86,16.45,12.23,6.65,3.93,10.33,16.94,11.11,12.32,20.26,3.42,45.5,6.15,5.72
9,18.77,0.84,13.57,5.13,7.76,13.85,9.42,6.13,999.0,3.25,7.54,12.71,18.24,14.28,9.44,9.5,9.6,4.66,13.26,3.24,8.13,6.01,7.21,13.5,5.17,5.24,10.17,10.86,8.44,2.42,4.94,5.36,10.85,9.07,7.13,15.66,3.24,39.38,3.29,2.37
10,17.79,3.44,16.53,8.36,5.58,16.35,8.45,5.99,3.25,999.0,10.77,12.54,18.16,17.42,12.59,12.18,12.84,7.61,15.98,2.65,5.65,8.37,10.45,16.5,7.57,3.54,13.24,10.64,6.36,1.26,6.85,8.49,12.62,12.22,6.44,18.68,2.65,40.3,0.16,5.3
