,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,13.04,10.21,14.46,11.53,13.45,13.02,15.5,18.21,23.04,14.13,1.28,17.23,16.92,18.86,9.2,10.93,11.12,5.45,3.34,12.28,10.93,7.98,18.24,13.74,14.01,11.53,8.13,13.06,1.34,10.72,17.72,17.91,17.73,14.35,13.34,16.16,12.93,12.62,16.5
2,13.04,999.0,15.78,8.72,10.61,3.74,0.97,12.42,14.14,11.3,8.05,13.83,8.72,12.68,13.94,11.6,2.81,2.73,17.8,16.16,7.0,8.97,8.55,10.58,11.99,5.24,10.61,13.46,6.19,13.89,2.82,12.39,15.37,8.2,2.2,5.25,7.49,10.33,2.45,10.46
3,10.21,15.78,999.0,10.76,6.45,13.56,15.12,9.03,11.28,27.07,10.94,9.28,14.11,10.63,12.32,4.24,12.97,13.05,8.93,9.69,10.14,7.56,7.27,24.88,7.32,12.98,6.45,2.57,11.4,9.27,13.0,11.91,10.05,23.3,15.65,12.35,13.7,7.9,16.95,23.75
4,14.46,8.72,10.76,999.0,4.33,5.04,7.76,3.84,5.46,18.66,0.67,14.49,3.37,3.97,5.43,7.04,6.95,6.85,17.02,16.37,2.43,3.78,6.5,19.3,4.13,3.63,4.33,9.54,2.59,14.54,7.23,3.92,6.67,16.83,7.24,3.47,3.03,2.9,11.0,19.1
5,11.53,10.61,6.45,4.33,999.0,7.64,9.77,3.97,6.68,21.6,4.49,11.26,7.7,5.43,7.37,2.86,8.03,8.03,13.15,12.83,3.96,1.66,4.02,20.8,2.27,6.77,0.0,5.31,5.18,11.29,8.18,6.39,6.57,18.71,9.9,6.22,7.25,1.62,12.38,20.13
6,13.45,3.74,13.56,5.04,7.64,999.0,2.77,8.82,10.42,13.99,4.37,13.93,5.19,8.97,10.19,9.32,2.94,2.76,17.42,16.15,3.71,6.13,6.88,14.29,8.63,1.51,7.64,11.57,2.64,13.98,3.24,8.65,11.71,11.79,2.3,1.59,3.91,7.01,6.12,14.19
7,13.02,0.97,15.12,7.76,9.77,2.77,999.0,11.47,13.17,11.97,7.09,13.73,7.79,11.72,12.97,10.91,2.3,2.17,17.6,16.04,6.08,8.14,7.96,11.55,11.09,4.27,9.77,12.87,5.24,13.79,2.41,11.42,14.41,9.13,1.53,4.29,6.55,9.43,3.38,11.42
8,15.5,12.42,9.03,3.84,3.97,8.82,11.47,999.0,2.71,22.48,4.47,15.21,6.24,1.61,3.48,6.59,10.34,10.27,16.85,16.7,5.54,4.91,7.83,22.98,1.86,7.46,3.97,8.75,6.23,15.24,10.57,2.88,3.02,20.59,11.06,7.23,6.5,2.73,14.59,22.64
9,18.21,14.14,11.28,5.46,6.68,10.42,13.17,2.71,999.0,23.43,6.13,17.92,6.54,1.52,1.15,9.25,12.39,12.3,19.44,19.38,7.66,7.52,10.49,24.71,4.52,8.94,6.68,11.32,8.05,17.95,12.65,2.01,2.03,22.16,12.5,8.9,7.27,5.37,16.45,24.55
10,23.04,11.3,27.07,18.66,21.6,13.99,11.97,22.48,23.43,999.0,18.07,24.08,16.92,22.2,22.82,22.88,14.12,14.03,28.3,26.37,17.7,20.01,19.85,7.82,22.57,15.12,21.6,24.76,16.59,24.15,14.11,21.43,25.1,6.03,11.7,15.52,16.18,20.98,10.61,9.87
11,14.13,8.05,10.94,0.67,4.49,4.37,7.09,4.47,6.13,18.07,999.0,14.22,3.35,4.64,6.08,7.08,6.3,6.19,16.88,16.15,1.92,3.7,6.22,18.63,4.6,2.99,4.49,9.58,1.92,14.26,6.57,4.56,7.33,16.17,6.6,2.8,2.75,3.22,10.32,18.42
12,1.28,13.83,9.28,14.49,11.26,13.93,13.73,15.21,17.92,24.08,14.22,999.0,17.41,16.69,18.63,8.75,11.57,11.74,4.27,2.33,12.43,10.85,7.99,19.46,13.41,14.36,11.26,7.38,13.31,0.07,11.37,17.57,17.49,18.87,15.0,13.68,16.4,12.74,13.58,17.75
