,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,999.0,14.72,10.94,16.3,15.16,17.55,3.57,14.1,4.33,2.6,15.51,3.44,15.83,13.27,4.56,0.98,5.02,14.44,16.63,15.03,8.73,11.39,13.98,12.75,2.56,5.1,17.12,14.29,8.35,3.08,14.3,4.55,15.51,10.92,7.05,8.44,2.03,16.79,14.05,7.65
2,14.72,999.0,4.96,16.14,14.16,5.76,11.58,13.49,15.48,14.6,14.93,18.13,11.23,6.19,13.2,15.43,9.88,10.58,19.15,9.17,18.61,4.61,6.12,17.39,13.58,9.69,18.1,3.38,11.72,12.01,13.42,14.11,14.93,14.32,16.71,18.68,13.67,11.16,1.9,7.49
3,10.94,4.96,999.0,12.1,10.15,10.19,7.46,9.3,12.85,10.24,10.88,14.17,8.1,3.18,8.54,11.79,5.93,7.01,14.73,6.26,13.69,0.46,3.71,12.58,10.51,5.92,13.92,3.36,6.76,8.79,9.29,9.43,10.88,9.48,11.83,13.78,10.42,8.49,3.5,5.51
4,16.3,16.14,12.1,999.0,1.99,21.88,13.64,2.83,20.29,13.88,1.22,17.71,5.47,9.95,11.74,17.24,13.63,5.63,3.62,7.31,11.05,12.18,10.1,5.3,17.77,14.02,2.02,12.86,8.2,16.45,2.81,11.86,1.22,5.44,10.89,11.47,17.33,6.23,14.24,16.23
5,15.16,14.16,10.15,1.99,999.0,19.9,12.26,1.08,18.99,12.87,0.77,16.89,3.73,7.97,10.63,16.13,12.08,3.68,5.31,5.41,10.96,10.22,8.13,5.74,16.43,12.44,3.96,10.89,6.85,15.02,0.94,10.89,0.77,4.74,10.43,11.34,16.02,4.65,12.26,14.45
6,17.55,5.76,10.19,21.88,19.9,999.0,15.13,19.19,16.86,18.19,20.66,20.95,16.99,11.94,17.34,18.01,13.46,16.34,24.8,14.93,23.18,9.96,11.89,22.77,15.71,13.13,23.82,9.13,16.75,14.5,19.13,18.24,20.66,19.67,21.17,23.17,15.98,16.87,7.66,9.94
7,3.57,11.58,7.46,13.64,12.26,15.13,999.0,11.19,6.74,3.08,12.72,6.71,12.48,9.69,2.75,4.5,1.72,11.09,14.6,11.54,8.66,7.91,10.41,10.99,4.17,2.01,14.75,10.81,5.45,2.84,11.35,3.45,12.72,8.55,6.64,8.53,3.79,13.39,10.71,5.33
8,14.1,13.49,9.3,2.83,1.08,19.19,11.19,999.0,17.91,11.83,1.65,15.89,3.75,7.33,9.58,15.07,11.01,3.3,5.72,5.1,10.23,9.4,7.58,5.38,15.36,11.37,4.64,10.29,5.78,13.95,0.26,9.87,1.65,3.88,9.56,10.59,14.95,4.81,11.6,13.44
9,4.33,15.48,12.85,20.29,18.99,16.86,6.74,17.91,999.0,6.93,19.42,5.85,19.13,15.7,8.66,3.67,7.39,17.74,20.87,18.0,12.98,13.26,16.37,17.04,2.58,7.2,21.25,15.97,12.14,4.21,18.09,8.81,19.42,15.02,11.37,12.67,2.97,19.98,15.33,8.0
10,2.6,14.6,10.24,13.88,12.87,18.19,3.08,11.83,6.93,999.0,13.16,4.28,13.91,12.07,2.31,3.44,4.79,12.55,14.05,13.36,6.34,10.7,12.79,10.16,4.88,5.09,14.6,13.57,6.22,4.58,12.05,2.02,13.16,8.45,4.52,6.11,4.32,14.94,13.62,8.33
11,15.51,14.93,10.88,1.22,0.77,20.66,12.72,1.65,19.42,13.16,999.0,17.11,4.41,8.74,10.96,16.47,12.61,4.44,4.59,6.16,10.88,10.96,8.9,5.42,16.88,12.99,3.19,11.66,7.28,15.5,1.6,11.16,0.0,4.85,10.49,11.27,16.45,5.28,13.03,15.1
12,3.44,18.13,14.17,17.71,16.89,20.95,6.71,15.89,5.85,4.28,17.11,999.0,18.16,16.24,6.56,2.97,8.32,16.81,17.35,17.64,8.18,14.62,16.96,13.39,5.44,8.46,18.17,17.52,10.44,6.45,16.12,6.07,17.11,12.28,7.16,7.78,5.05,19.2,17.38,11.08
13,15.83,11.23,8.1,5.47,3.73,16.99,12.48,3.75,19.13,13.91,4.41,18.16,999.0,5.22,11.61,16.81,11.79,1.39,9.0,2.06,13.58,8.02,5.12,9.13,16.55,12.05,7.48,7.85,7.73,14.95,3.52,12.13,4.41,7.19,12.59,13.9,16.24,1.13,9.35,13.23
14,13.27,6.19,3.18,9.95,7.97,11.94,9.69,7.33,15.7,12.07,8.74,16.24,5.22,999.0,10.01,14.19,8.44,4.41,13.03,3.23,14.16,2.96,0.72,11.68,13.24,8.54,11.91,2.96,7.05,11.53,7.25,10.81,8.74,8.77,12.55,14.34,13.07,5.44,4.29,8.67
